날짜,일일 관객수,누적 관객수,스크린 수,상영 횟수,movie_title,runtime,budget,director,top_cast,yt_total_views,yt_total_likes,is_10m
2026-03-06,271745,10049700,1881,7684,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-07,754523,10804223,2171,9535,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-08,699461,11503684,2187,9211,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-09,203140,11706824,1816,7356,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-10,177180,11884004,1860,7464,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-11,171424,12055428,1934,7926,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-12,158648,12214076,1955,7839,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-13,221373,12435449,2036,8880,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-14,554197,12989646,2263,10419,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
2026-03-15,478145,13467791,2223,9908,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,True
