movie_id,keywords
1321179,"coup d'etat, exile, based on true story, king, period drama, middle ages (476-1453), historical drama, depose, nobleman, 15th century, joseon dynasty (1392–1910), based on real person, the gyeyu rebellion"
283566,"technology, dystopia, post-apocalyptic future, mecha, giant robot, battle, anime, father son conflict, based on tv series, bold"
318049,
496243,"dark comedy, private lessons, birthday party, con artist, working class, infiltration, psychological thriller, class differences, housekeeper, tutor, family, hidden room, unemployed, hiding in attic, domestic worker, wealthy family, south korea, caste violence, seoul, south korea, factual, amused, disapproving"
