영상 ID,영상 제목,채널명,업로드 날짜,조회수,좋아요 수,댓글 수
SB5xmwlBA74,"Full] 천만🎉 영화 '왕과 사는 남자' GV: 유해진, 박지훈, 유지태, 김민, 장항준 감독: 260204: 롯데시네마 월드타워 8관: PARK JIHOON 왕사남",supershinstudio,2026-02-05T22:59:52Z,109842,2086,156
fWGQLRSyY_M,왕과 사는 남자 [FMV] 달 그림자-안예은 (가사),휘슬,2026-02-25T01:42:45Z,228156,2175,95
TjL4noxEN6A,이걸 건드려야 터진다…사라졌던 '천만 영화' 부활시킨 비결 / SBS / 모아보는 뉴스,SBS 뉴스,2026-03-10T02:33:34Z,58656,943,124
ahNyH_dTNl4,[기자수첩890] '왕과 사는 남자' 역대 최고매출 영화 등극은 시간문제다!,올댓스타,2026-03-15T06:20:50Z,141640,4649,234
_DvnvAVO5rk,"정상급 연기력, 허술한 연출력〈왕과 사는 남자〉감상 후기",백수골방,2026-02-08T05:55:00Z,55314,1056,578
q68d0IDD-fA,"장사 되겠다, 장사는 되겠다, 장사만 되겠다 | 왕과 사는 남자(The King's Warden)",거의없다,2026-02-08T13:01:31Z,207730,6429,739
dPpFazaQNyw,#왕과사는남자 현명한 촌장님,쇼박스 SHOWBOX,2026-03-02T05:00:43Z,1282983,14364,467
BJ91oaaX7Bk,[왕과 사는 남자] 제작기 영상,쇼박스 SHOWBOX,2025-12-30T22:57:01Z,275752,6193,475
DMKg_th-6vo,🔥기대와 달랐는데 왜 이렇게 마음에 오래 남을까? 밥과 호랑이의 의미 〈 왕과 사는 남자 〉 후기 리뷰 해석 🔥 #추천영화 #영화리뷰 #유해진 #박지훈  [ 스포있음 ],스토리담 : 다양한 스토리를 담다,2026-02-07T09:30:07Z,324814,3939,697
o2ijiTZ44ks,관객들이 왕사남에 열광하는 이유 | 크랩,크랩 KLAB,2026-03-07T02:00:54Z,215241,2601,327
MeHQeprZtLM,"왕과 사는 남자 결말, 그 후의 이야기들 (에필로그)",책트폭행,2026-02-21T17:26:17Z,231599,3024,390
eeQi7dC1VEw,"[한국사 역사] 왕과 사는 남자, ""단종을 살리기 위해 단 하루만 버텨라"" 엄흥도의 마지막 24시간",역사 속 사람들,2026-01-19T10:56:28Z,1028679,11283,899
