movie_id,trailer_exists,youtube_video_key,video_type
1321179,True,TpG4W2WwYBU,Trailer
283566,True,gbfICiHJah8,Trailer
318049,False,N/A,N/A
496243,True,jD5dwCIOvtM,Trailer
